minute, X, Y, h_a, situation, shotType, h_goals, a_goals, lastAction, xG
9.30E+01,7.07E-01,3.79E-01,1.00E+00,2.00E+00,4.00E+00,0.00E+00,0.00E+00,1.00E+00,1.19E-02
1.00E+00,7.28E-01,3.73E-01,0.00E+00,5.00E+00,4.00E+00,0.00E+00,1.00E+00,2.60E+01,1.60E-02
6.70E+01,1.60E-02,4.64E-01,0.00E+00,5.00E+00,1.00E+00,2.00E+00,0.00E+00,1.50E+01,0.00E+00
5.80E+01,8.75E-01,5.21E-01,0.00E+00,2.00E+00,1.00E+00,3.00E+00,2.00E+00,1.00E+00,1.67E-02
7.80E+01,9.27E-01,5.57E-01,0.00E+00,3.00E+00,2.00E+00,5.00E+00,2.00E+00,2.60E+01,4.33E-01
1.10E+01,8.99E-01,5.98E-01,0.00E+00,5.00E+00,4.00E+00,2.00E+00,2.00E+00,2.30E+01,7.29E-02
2.80E+01,9.80E-01,4.72E-01,0.00E+00,2.00E+00,2.00E+00,0.00E+00,2.00E+00,2.30E+01,7.95E-01
2.80E+01,9.84E-01,4.76E-01,0.00E+00,2.00E+00,2.00E+00,0.00E+00,2.00E+00,2.90E+01,9.46E-01
8.60E+01,8.85E-01,4.33E-01,0.00E+00,3.00E+00,2.00E+00,2.00E+00,0.00E+00,1.00E+01,6.52E-02
8.70E+01,9.42E-01,6.35E-01,0.00E+00,2.00E+00,1.00E+00,2.00E+00,0.00E+00,1.00E+00,1.33E-02
5.70E+01,9.57E-01,6.26E-01,1.00E+00,5.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.22E-02
4.60E+01,9.10E-01,6.09E-01,0.00E+00,2.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+01,2.93E-02
8.00E+01,9.17E-01,5.30E-01,0.00E+00,3.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+01,1.35E-01
8.90E+01,9.33E-01,5.63E-01,1.00E+00,2.00E+00,1.00E+00,0.00E+00,4.00E+00,1.00E+00,4.38E-02
1.50E+01,9.32E-01,4.79E-01,0.00E+00,2.00E+00,1.00E+00,3.00E+00,2.00E+00,1.00E+01,1.24E-01
2.10E+01,9.12E-01,6.12E-01,1.00E+00,3.00E+00,1.00E+00,1.00E+00,2.00E+00,1.00E+00,1.79E-02
3.40E+01,8.69E-01,6.43E-01,0.00E+00,5.00E+00,4.00E+00,0.00E+00,0.00E+00,1.00E+00,2.21E-02
3.40E+01,8.69E-01,6.43E-01,0.00E+00,5.00E+00,2.00E+00,0.00E+00,0.00E+00,2.90E+01,4.92E-02
8.30E+01,9.66E-01,4.28E-01,1.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,1.00E+01,1.19E-01
